Distance,x,y,Curvature
0.0,0.0,0.0,0.0
0.01667,0.01667,0.0,0.0
0.03334,0.03334,0.0,0.0
0.05001,0.05001,0.0,0.0
0.06668,0.06668,0.0,0.0
0.08335,0.08335,0.0,0.0
0.10002,0.10002,0.0,0.0
0.11669,0.11669,0.0,0.0
0.13336,0.13336,0.0,0.0
0.15003,0.15003,0.0,0.0
0.1667,0.1667,0.0,0.0
0.18337,0.18337,0.0,0.0
0.20004,0.20004,0.0,0.0
0.21670999999999996,0.21670999999999996,0.0,0.0
0.23337999999999995,0.23337999999999995,0.0,0.0
0.25004999999999994,0.25004999999999994,0.0,0.0
0.26671999999999996,0.26671999999999996,0.0,0.0
0.28339,0.28339,0.0,0.0
0.30006,0.30006,0.0,0.0
0.31673,0.31673,0.0,0.0
0.3334,0.3334,0.0,0.0
0.35007000000000005,0.35007000000000005,0.0,0.0
0.36674000000000007,0.36674000000000007,0.0,0.0
0.3834100000000001,0.3834100000000001,0.0,0.0
0.4000800000000001,0.4000800000000001,0.0,0.0
0.41675000000000006,0.41675000000000006,0.0,0.0
0.4334200000000001,0.4334200000000001,0.0,0.0
0.45009000000000016,0.45009000000000016,0.0,0.0
0.4667600000000002,0.4667600000000002,0.0,0.0
0.48343000000000014,0.48343000000000014,0.0,0.0
0.5001000000000002,0.5001000000000002,0.0,0.0
0.5167700000000002,0.5167700000000002,0.0,0.0
0.53344,0.53344,0.0,0.0
0.5501100000000001,0.5501100000000001,0.0,0.0
0.5667800000000001,0.5667800000000001,0.0,0.0
0.58345,0.58345,0.0,0.0
0.60012,0.60012,0.0,0.0
0.61679,0.61679,0.0,0.0
0.6334599999999999,0.6334599999999999,0.0,0.0
0.6501299999999999,0.6501299999999999,0.0,0.0
0.6667999999999998,0.6667999999999998,0.0,0.0
0.6834699999999998,0.6834699999999998,0.0,0.0
0.7001399999999998,0.7001399999999998,0.0,0.0
0.7168099999999997,0.7168099999999997,0.0,0.0
0.7334799999999997,0.7334799999999997,0.0,0.0
0.7501499999999997,0.7501499999999997,0.0,0.0
0.7668199999999997,0.7668199999999997,0.0,0.0
0.7834899999999995,0.7834899999999995,0.0,0.0
0.8001599999999995,0.8001599999999995,0.0,0.0
0.8168299999999995,0.8168299999999995,0.0,0.0
0.8334999999999994,0.8334999999999994,0.0,0.0
0.8501699999999993,0.8501699999999993,0.0,0.0
0.8668399999999994,0.8668399999999994,0.0,0.0
0.8835099999999994,0.8835099999999994,0.0,0.0
0.9001799999999993,0.9001799999999993,0.0,0.0
0.9168499999999992,0.9168499999999992,0.0,0.0
0.9335199999999992,0.9335199999999992,0.0,0.0
0.9501899999999992,0.9501899999999992,0.0,0.0
0.9668599999999992,0.9668599999999992,0.0,0.0
0.9835299999999992,0.9835299999999992,0.0,0.0
1.000199999999999,1.000199999999999,0.0,0.0
1.016869999999999,1.016869999999999,0.0,0.0
1.033539999999999,1.033539999999999,0.0,0.0
1.0502099999999988,1.0502099999999988,0.0,0.0
1.0668799999999987,1.0668799999999987,0.0,0.0
1.083549999999999,1.083549999999999,0.0,0.0
1.1002199999999989,1.1002199999999989,0.0,0.0
1.1168899999999988,1.1168899999999988,0.0,0.0
1.1335599999999988,1.1335599999999988,0.0,0.0
1.1502299999999988,1.1502299999999988,0.0,0.0
1.1668999999999987,1.1668999999999987,0.0,0.0
1.1835699999999987,1.1835699999999987,0.0,0.0
1.2002399999999986,1.2002399999999986,0.0,0.0
1.2169099999999986,1.2169099999999986,0.0,0.0
1.2335799999999983,1.2335799999999983,0.0,0.0
1.2502499999999983,1.2502499999999983,0.0,0.0
1.2669199999999985,1.2669199999999985,0.0,0.0
1.2835899999999985,1.2835899999999985,0.0,0.0
1.3002599999999984,1.3002599999999984,0.0,0.0
1.3169299999999984,1.3169299999999984,0.0,0.0
1.3335999999999983,1.3335999999999983,0.0,0.0
1.3502699999999983,1.3502699999999983,0.0,0.0
1.3669399999999983,1.3669399999999983,0.0,0.0
1.3836099999999982,1.3836099999999982,0.0,0.0
1.400279999999998,1.400279999999998,0.0,0.0
1.416949999999998,1.416949999999998,0.0,0.0
1.433619999999998,1.433619999999998,0.0,0.0
1.450289999999998,1.450289999999998,0.0,0.0
1.466959999999998,1.466959999999998,0.0,0.0
1.483629999999998,1.483629999999998,0.0,0.0
1.500299999999998,1.500299999999998,0.0,0.0
1.516969999999998,1.516969999999998,0.0,0.0
1.533639999999998,1.533639999999998,0.0,0.0
1.5503099999999979,1.5503099999999979,0.0,0.0
1.5669799999999978,1.5669799999999978,0.0,0.0
1.5836499999999976,1.5836499999999976,0.0,0.0
1.6003199999999975,1.6003199999999975,0.0,0.0
1.6169899999999977,1.6169899999999977,0.0,0.0
1.6336599999999977,1.6336599999999977,0.0,0.0
1.6503299999999976,1.6503299999999976,0.0,0.0
1.6669999999999976,1.6669999999999976,0.0,0.0
1.6836699999999976,1.6836699999999976,0.0,0.0
1.7003399999999975,1.7003399999999975,0.0,0.0
1.7170099999999975,1.7170099999999975,0.0,0.0
1.7336799999999974,1.7336799999999974,0.0,0.0
1.7503499999999974,1.7503499999999974,0.0,0.0
1.7670199999999971,1.7670199999999971,0.0,0.0
1.7836899999999971,1.7836899999999971,0.0,0.0
1.8003599999999973,1.8003599999999973,0.0,0.0
1.8170299999999968,1.8170299999999968,0.0,0.0
1.8336999999999968,1.8336999999999968,0.0,0.0
1.8503699999999967,1.8503699999999967,0.0,0.0
1.8670399999999967,1.8670399999999967,0.0,0.0
1.8837099999999969,1.8837099999999969,0.0,0.0
