v,a,b,wz,psi,x,y,ax,ay,xJerk
16.425159149156205,-0.5064802779373079,-0.06958915306366788,0.4331766126584882,0.35704926447434254,64.85468012983641,2.190013469009452,-0.04594313209721481,0.18823682201077574,-0.005367169212125794
16.374511121362474,-0.5552254606583241,-0.07384586311516331,0.45025084569038115,0.4003669257401914,66.43355577801702,2.6569984832785813,-0.042567100514954256,0.17074233031892927,-0.004693980591447877
16.31898857529664,-0.6010001464336325,-0.07772786726989572,0.46562764609190327,0.4453920103092295,67.98864298962533,3.18384885220386,-0.038820041547324206,0.15376800401522117,-0.0040668274735779775
16.258888560653276,-0.6430973771177293,-0.08121501161035614,0.4793661592675324,0.4919547749184198,69.51598270148034,3.772420590098154,-0.034871443404604255,0.13738513175629108,-0.0034858480188091623
16.1945788229415,-0.6809923888276498,-0.08429919193759482,0.4915327855643079,0.539891390845173,71.01143152868103,4.42402144752895,-0.03084180327238669,0.12166626296775518,-0.002951056554654774
16.126479584058735,-0.7146327018295858,-0.08695065581015142,0.502592092299884,0.5890446694016038,72.47072164446156,5.139391020109306,-0.026514638725566034,0.11059306735576135,-0.0025791289141092744
16.055016313875775,-0.7451979562377136,-0.08911656464161442,0.5138930711860445,0.6393038786315922,73.88949499927344,5.918735281330785,-0.02165908831463009,0.11300978886160529,-0.002871473396593466
15.980496518252004,-0.7732678104299494,-0.0910307944179598,0.5246312105566405,0.6906931857501967,75.26329307319202,6.761816124606435,-0.019142297763453792,0.10738139370595956,-0.0032533557616543363
15.903169737209009,-0.798500097458558,-0.09276265715358234,0.5342753690506411,0.7431563068058608,76.58775299588567,7.667757969820457,-0.0173186273562253,0.09644158494000576,-0.003759968053929974
15.823319727463153,-0.8202128599103575,-0.09437683005506355,0.5415753312881647,0.7965838437109248,77.85857730144777,8.635165024839846,-0.016141729014812065,0.0729996223752365,-0.011860431924710549
15.741298441472116,-0.8396118394480974,-0.09542887808053449,0.5502859087643704,0.8507413768397413,79.07164048802501,9.662079462192667,-0.010520480254709462,0.08710577476205739,-0.015677363691223217
