Distance,x,y,Curvature
0.0,0.0,0.0,0.0
0.1667,0.1667,0.0,0.0
0.3334,0.3334,0.0,0.0
0.5001000000000002,0.5001000000000002,0.0,0.0
0.6667999999999998,0.6667999999999998,0.0,0.0
0.8334999999999994,0.8334999999999994,0.0,0.0
1.000199999999999,1.000199999999999,0.0,0.0
1.1668999999999987,1.1668999999999987,0.0,0.0
1.3335999999999983,1.3335999999999983,0.0,0.0
1.500299999999998,1.500299999999998,0.0,0.0
1.6669999999999976,1.6669999999999976,0.0,0.0
1.8336999999999968,1.8336999999999968,0.0,0.0
2.000399999999997,2.000399999999997,0.0,0.0
2.1670999999999965,2.1670999999999965,0.0,0.0
2.333799999999996,2.333799999999996,0.0,0.0
2.500499999999996,2.500499999999996,0.0,0.0
2.667199999999996,2.667199999999996,0.0,0.0
2.833899999999995,2.833899999999995,0.0,0.0
3.0005999999999946,3.0005999999999946,0.0,0.0
3.1672999999999942,3.1672999999999942,0.0,0.0
3.3339999999999934,3.3339999999999934,0.0,0.0
3.500699999999993,3.500699999999993,0.0,0.0
3.6673999999999927,3.6673999999999927,0.0,0.0
3.8340999999999927,3.8340999999999927,0.0,0.0
4.000799999999993,4.000799999999993,0.0,0.0
4.167499999999997,4.167499999999997,0.0,0.0
4.334200000000001,4.334200000000001,0.0,0.0
4.500900000000005,4.500900000000005,0.0,0.0
4.667600000000009,4.667600000000009,0.0,0.0
4.834300000000013,4.834300000000013,0.0,0.0
5.001000000000017,5.001000000000017,0.0,0.0
5.16770000000002,5.16770000000002,0.0,0.0
5.3344000000000245,5.3344000000000245,0.0,0.0
5.5011000000000285,5.5011000000000285,0.0,0.0
5.6678000000000335,5.6678000000000335,0.0,0.0
5.8345000000000375,5.8345000000000375,0.0,0.0
6.001200000000042,6.001200000000042,0.0,0.0
6.167900000000046,6.167900000000046,0.0,0.0
6.33460000000005,6.33460000000005,0.0,0.0
6.501300000000054,6.501300000000054,0.0,0.0
6.668000000000058,6.668000000000058,0.0,0.0
6.834700000000062,6.834700000000062,0.0,0.0
7.001400000000066,7.001400000000066,0.0,0.0
7.16810000000007,7.16810000000007,0.0,0.0
7.334800000000073,7.334800000000073,0.0,0.0
7.501500000000078,7.501500000000078,0.0,0.0
7.668200000000081,7.668200000000081,0.0,0.0
7.834900000000086,7.834900000000086,0.0,0.0
8.00160000000009,8.00160000000009,0.0,0.0
8.168300000000086,8.168300000000086,0.0,0.0
8.33500000000008,8.33500000000008,0.0,0.0
8.501700000000076,8.501700000000076,0.0,0.0
8.668400000000071,8.668400000000071,0.0,0.0
8.835100000000066,8.835100000000066,0.0,0.0
9.001800000000062,9.001800000000062,0.0,0.0
9.168500000000057,9.168500000000057,0.0,0.0
9.335200000000054,9.335200000000054,0.0,0.0
9.501900000000049,9.501900000000049,0.0,0.0
9.668600000000042,9.668600000000042,0.0,0.0
9.835300000000036,9.835300000000036,0.0,0.0
10.002000000000033,10.002000000000033,0.0,0.0
10.168700000000028,10.168700000000028,0.0,0.0
10.335400000000025,10.335400000000025,0.0,0.0
10.502100000000018,10.502100000000018,0.0,0.0
10.668800000000012,10.668800000000012,0.0,0.0
10.835500000000009,10.835500000000009,0.0,0.0
11.002200000000004,11.002200000000004,0.0,0.0
11.168899999999997,11.168899999999997,0.0,0.0
11.335599999999994,11.335599999999994,0.0,0.0
11.502299999999988,11.502299999999988,0.0,0.0
11.668999999999984,11.668999999999984,0.0,0.0
11.83569999999998,11.83569999999998,0.0,0.0
12.002399999999975,12.002399999999975,0.0,0.0
12.16909999999997,12.16909999999997,0.0,0.0
12.335799999999963,12.335799999999963,0.0,0.0
12.50249999999996,12.50249999999996,0.0,0.0
12.669199999999956,12.669199999999956,0.0,0.0
12.83589999999995,12.83589999999995,0.0,0.0
13.002599999999944,13.002599999999944,0.0,0.0
13.16929999999994,13.16929999999994,0.0,0.0
13.335999999999936,13.335999999999936,0.0,0.0
13.502699999999932,13.502699999999932,0.0,0.0
13.669399999999927,13.669399999999927,0.0,0.0
13.83609999999992,13.83609999999992,0.0,0.0
14.002799999999915,14.002799999999915,0.0,0.0
14.169499999999912,14.169499999999912,0.0,0.0
14.336199999999907,14.336199999999907,0.0,0.0
14.502899999999903,14.502899999999903,0.0,0.0
14.669599999999896,14.669599999999896,0.0,0.0
14.836299999999891,14.836299999999891,0.0,0.0
15.002999999999888,15.002999999999888,0.0,0.0
15.169699999999883,15.169699999999883,0.0,0.0
15.336399999999879,15.336399999999879,0.0,0.0
15.503099999999872,15.503099999999872,0.0,0.0
15.669799999999867,15.669799999999867,0.0,0.0
15.836499999999864,15.836499999999864,0.0,0.0
16.00319999999986,16.00319999999986,0.0,0.0
16.169899999999874,16.169899999999874,0.0,0.0
16.336599999999887,16.336599999999887,0.0,0.0
16.5032999999999,16.5032999999999,0.0,0.0
16.669999999999913,16.669999999999913,0.0,0.0
16.836699999999922,16.836699999999922,0.0,0.0
17.00339999999994,17.00339999999994,0.0,0.0
17.17009999999995,17.17009999999995,0.0,0.0
17.336799999999965,17.336799999999965,0.0,0.0
17.503499999999978,17.503499999999978,0.0,0.0
17.67019999999999,17.67019999999999,0.0,0.0
17.836900000000004,17.836900000000004,0.0,0.0
18.003600000000016,18.003600000000016,0.0,0.0
18.17030000000003,18.17030000000003,0.0,0.0
18.33700000000004,18.33700000000004,0.0,0.0
18.50370000000005,18.50370000000005,0.0,0.0
18.67040000000007,18.67040000000007,0.0,0.0
18.83710000000008,18.83710000000008,0.0,0.0
19.00380000000009,19.00380000000009,0.0,0.0
